horizon_steps,horizon_label,model,n_folds,mean_mae_norm,std_mae_norm,mean_rmse_norm,std_rmse_norm,mean_bias_norm,mean_mae_kw_250,std_mae_kw_250,mean_rmse_kw_250,std_rmse_kw_250,mean_bias_kw_250,mean_mae_skill_vs_persistence,std_mae_skill_vs_persistence,mean_rmse_skill_vs_persistence,std_rmse_skill_vs_persistence
1,30 min,RollingMean,5,0.016519934256468263,0.00658960574292354,0.028600713516721034,0.009541074018307057,-0.00013142237209922677,4.129983564117065,1.6474014357308848,7.150178379180258,2.385268504576765,-0.03285559302480663,-0.019743636894204573,0.03155534978908584,0.0453186198440072,0.09545664281648403
1,30 min,Ridge,5,0.019197176392754044,0.006541981606887371,0.02890372591595603,0.009729188365683672,-0.004449787343667227,4.799294098188511,1.6354954017218433,7.225931478989009,2.432297091420919,-1.1124468359168067,-0.21256519516246658,0.12638454002525792,0.03669555872965689,0.09130290148844543
1,30 min,Persistence,5,0.01633832070675774,0.006831603906457928,0.030939252163238434,0.012581590068116722,0.00011574545937269006,4.0845801766894345,1.7079009766144815,7.734813040809608,3.14539751702918,0.028936364843172475,0.0,0.0,0.0,0.0
1,30 min,RandomForest,5,0.025767491243808217,0.0077412927219170265,0.038412986573390366,0.010089760519461822,-0.010461644678951967,6.441872810952054,1.935323180479257,9.603246643347592,2.5224401298654557,-2.6154111697379916,-0.7538300459619689,0.7681404295682499,-0.3714678132800131,0.5472051171290707
2,1 h,Ridge,5,0.021096215647515487,0.006658045544209443,0.031017134317273636,0.01003472441562892,-0.005162235720296248,5.274053911878871,1.6645113860523602,7.754283579318409,2.5086811039072314,-1.2905589300740619,-0.25519266228106996,0.17342576621357714,0.030973233781263133,0.07204676470595815
2,1 h,RollingMean,5,0.018394729954182905,0.00731219377473903,0.031258343853190484,0.010440346435464782,-6.878876245446398e-05,4.598682488545725,1.8280484436847577,7.814585963297621,2.610086608866196,-0.01719719061361593,-0.05899883960884629,0.048743767259172385,0.026941736125864015,0.06571340623673368
2,1 h,Persistence,5,0.017609926041606643,0.00754986656186317,0.03272783955693266,0.012439069366203852,9.066257722186843e-05,4.402481510401661,1.887466640465792,8.181959889233164,3.109767341550961,0.02266564430546708,0.0,0.0,0.0,0.0
2,1 h,RandomForest,5,0.029069617916508573,0.008048179646160789,0.04344704624271838,0.00901245915332007,-0.012282255979413698,7.267404479127142,2.012044911540196,10.861761560679597,2.2531147883300173,-3.070563994853425,-0.860097915313073,0.7757461089567,-0.45971939135461193,0.49532003514607403
4,2 h,Persistence,5,0.019378360314133473,0.007840080171526268,0.034207648869351015,0.012536111530951662,-0.0002997952454462057,4.844590078533369,1.9600200428815668,8.551912217337755,3.134027882737914,-0.07494881136155143,0.0,0.0,0.0,0.0
4,2 h,Ridge,5,0.02459292491495609,0.008141753437597616,0.03517260920282319,0.012249506787359093,-0.006228720363298171,6.1482312287390215,2.035438359399404,8.793152300705797,3.0623766968397725,-1.5571800908245428,-0.30334631050709515,0.12734916683579836,-0.034725968067273016,0.029726967118481808
4,2 h,RollingMean,5,0.021642764082917848,0.008443126580546512,0.03576645246253078,0.012166945868351377,-0.0006011069449079837,5.4106910207294625,2.110781645136629,8.941613115632695,3.0417364670878424,-0.15027673622699586,-0.12266612919730072,0.023144501338350224,-0.05621440319987481,0.04999292763325072
4,2 h,RandomForest,5,0.03672557831085459,0.01188566023971096,0.054477022936575394,0.017211895140769283,-0.018467613239532558,9.181394577713647,2.97141505992774,13.619255734143845,4.3029737851923215,-4.616903309883139,-1.1396567848145538,1.0732610952108075,-0.7376224419517117,0.7565766717225431
8,4 h,Persistence,5,0.02596634782256248,0.010189260474188128,0.04241512501621642,0.014608166330865814,-0.0007098224263372608,6.491586955640619,2.547315118547032,10.603781254054105,3.6520415827164543,-0.17745560658431517,0.0,0.0,0.0,0.0
8,4 h,Ridge,5,0.03116123654392322,0.009867555884841117,0.04275230752887322,0.014714384590766294,-0.008729324010493405,7.790309135980804,2.466888971210279,10.688076882218304,3.678596147691573,-2.1823310026233513,-0.23206034419846167,0.1314707786601692,-0.007630008144378264,0.014459721017732482
8,4 h,RollingMean,5,0.02766108432373336,0.010713903344530474,0.04416477578357532,0.014102621919265635,-0.0008247234859160114,6.91527108093334,2.67847583613262,11.041193945893829,3.525655479816409,-0.20618087147900277,-0.06760621282134624,0.01288493546114906,-0.04995730583299918,0.03399449766526877
8,4 h,RandomForest,5,0.06946083046929247,0.03424391869261998,0.11656853297492784,0.05592133584657467,-0.04770235677193392,17.365207617323115,8.560979673154995,29.142133243731962,13.98033396164367,-11.925589192983477,-2.1748772637937224,2.231976616225714,-2.1408151397188444,2.0392490355321278
