horizon_steps,horizon_label,model,n_test_rows,mean_error_norm,median_error_norm,std_error_norm,q05_error_norm,q95_error_norm,median_abs_error_norm,q90_abs_error_norm,mean_error_kw_250,std_error_kw_250,q90_abs_error_kw_250
1,30 min,Persistence,3289,0.00010444267688993062,0.0,0.03218784708352445,-0.042337239417952865,0.03928965601462663,0.005433745567928652,0.040565958116103085,0.02611066922248265,8.046961770881106,10.14148952902577
1,30 min,Ridge,3289,-0.004511319312012084,-0.007360333342275892,0.029244894283588514,-0.04629989745273451,0.04482555894350009,0.009456238261873449,0.04573913610434721,-1.127829828003021,7.311223570897144,11.434784026086803
1,30 min,RollingMean,3289,-0.0001531564385604483,-0.00015456483137113106,0.029258910007956242,-0.04692632502902161,0.04094835815577184,0.006453852711114649,0.043853488658406437,-0.03828910964011206,7.314727501989055,10.963372164601608
2,1 h,Persistence,3258,6.786092874124815e-05,0.0,0.03382244727242733,-0.04808725842972268,0.04157544080144754,0.006270459329487887,0.045684387334117255,0.01696523218531202,8.455611818106837,11.421096833529313
2,1 h,Ridge,3258,-0.005254641297858594,-0.008968319513906212,0.031228166269432468,-0.04773501696581198,0.052352252467185875,0.011329468386252529,0.048667364602184626,-1.3136603244646483,7.807041567358113,12.166841150546157
2,1 h,RollingMean,3258,-0.00010553044215140626,-0.0003171721076180162,0.03197500675374034,-0.0497194984447084,0.052680135893520996,0.007112828797317911,0.04992749773165861,-0.026382610537851566,7.993751688435094,12.481874432914653
4,2 h,Persistence,3195,-0.00031811754309745945,0.0,0.03521704600276788,-0.052207737028994367,0.05115348689992269,0.0076536098868411895,0.051512091803270446,-0.07952938577436486,8.804261500691961,12.878022950817611
4,2 h,Ridge,3195,-0.0063272940921601665,-0.010582138444307032,0.035515862808815704,-0.06021694981048062,0.06043004884834848,0.01325800848282635,0.0603915265710092,-1.5818235230400417,8.878965702203951,15.097881642752299
4,2 h,RollingMean,3195,-0.0006357425623500379,-0.000343545353393442,0.03661253963829006,-0.06230221029119952,0.06187427310346766,0.008620889303607632,0.062287284367819544,-0.1589356405875095,9.153134909572515,15.571821091954886
8,4 h,Persistence,3072,-0.0007011516464488209,-0.0002795309735379012,0.04343765876979828,-0.0739872232836056,0.0645051976370964,0.011116485853240782,0.06773398847701886,-0.17528791161220522,10.85941469244955,16.933497119254717
8,4 h,Ridge,3072,-0.008847790796690564,-0.015558021156196738,0.04288267272552029,-0.06723803834067657,0.07759213613407809,0.01900921147616219,0.07300014949227036,-2.2119476991726406,10.720668181380082,18.25003737306759
8,4 h,RollingMean,3072,-0.0008311065086262717,-0.00041846830842155215,0.0450073225540231,-0.07968432742648736,0.07949311074637705,0.011969024364098912,0.07959657907848908,-0.20777662715656794,11.251830638505785,19.899144769622268
